Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
A4D126	reviewed	ISPD_HUMAN	D-ribitol-5-phosphate cytidylyltransferase, EC 2.7.7.40 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein, hISPD)	Homo sapiens (Human)	451	CRPPA	CRPPA ISPD	4CVH;
A4D1E9	reviewed	GTPBA_HUMAN	GTP-binding protein 10 (Protein obg homolog 2, ObgH2)	Homo sapiens (Human)	387	GTPBP10	GTPBP10 OBGH2 UG0751c10	7OI6;
A4D1P6	reviewed	WDR91_HUMAN	WD repeat-containing protein 91	Homo sapiens (Human)	747	WDR91	WDR91 HSPC049	6VYC;
A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1, EC 3.1.27.- (Endoribonuclease MBLAC1)	Homo sapiens (Human)	266	MBLAC1	MBLAC1	4V0H;
A4GXA9	reviewed	EME2_HUMAN	Probable crossover junction endonuclease EME2, EC 3.1.22.-	Homo sapiens (Human)	379	EME2	EME2	7F6L;
A4UGR9	reviewed	XIRP2_HUMAN	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	Homo sapiens (Human)	3374	XIRP2	XIRP2 CMYA3	4F14;
A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog, NOT1H, hNOT1)	Homo sapiens (Human)	2376	CNOT1	CNOT1 CDC39 KIAA1007 NOT1 AD-005	4C0D;4CQO;4CRU;4CRV;4CRW;4CT4;4CT6;4CT7;4GMJ;4GML;4J8S;5ANR;5FU6;5FU7;5ONA;
A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150, TFIIIB150) (Transcription factor-like nuclear regulator)	Homo sapiens (Human)	2624	BDP1	BDP1 KIAA1241 KIAA1689 TFNR	5N9G;
A6ND01	reviewed	JUNO_HUMAN	Sperm-egg fusion protein Juno (Folate receptor 4) (Folate receptor delta, FR-delta) (IZUMO1 receptor protein JUNO)	Homo sapiens (Human)	250	IZUMO1R	IZUMO1R FOLR4 JUNO	5F4E;5F4Q;5JKA;5JKB;5JKC;5JKD;5JKE;
A6NED2	reviewed	RCCD1_HUMAN	RCC1 domain-containing protein 1	Homo sapiens (Human)	376	RCCD1	RCCD1	6F4R;6F4S;6F4T;
A6NGG8	reviewed	PCARE_HUMAN	Photoreceptor cilium actin regulator	Homo sapiens (Human)	1288	PCARE	PCARE C2orf71	7LXF;
A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1, SMC hinge domain-containing protein 1, EC 3.6.1.-	Homo sapiens (Human)	2005	SMCHD1	SMCHD1 KIAA0650	6MW7;
A6NI73	reviewed	LIRA5_HUMAN	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11, ILT-11) (Leukocyte immunoglobulin-like receptor 9, LIR-9) (CD antigen CD85f)	Homo sapiens (Human)	299	LILRA5	LILRA5 ILT11 LILRB7 LIR9	2D3V;
A6NIH7	reviewed	U119B_HUMAN	Protein unc-119 homolog B	Homo sapiens (Human)	251	UNC119B	UNC119B	7OK6;7OK7;
A6NK06	reviewed	IRG1_HUMAN	Cis-aconitate decarboxylase, CAD, EC 4.1.1.6 (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	Homo sapiens (Human)	481	ACOD1	ACOD1 IRG1	6R6U;
A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	Homo sapiens (Human)	2087	ARHGAP32	ARHGAP32 GRIT KIAA0712 RICS	3IUG;
A8K7I4	reviewed	CLCA1_HUMAN	Calcium-activated chloride channel regulator 1, EC 3.4.-.- (Calcium-activated chloride channel family member 1, hCLCA1) (Calcium-activated chloride channel protein 1, CaCC-1, hCaCC-1)	Homo sapiens (Human)	914	CLCA1	CLCA1 CACC1	6PYO;6PYX;
A8K8P3	reviewed	SFI1_HUMAN	Protein SFI1 homolog, hSFI1	Homo sapiens (Human)	1242	SFI1	SFI1 KIAA0542	2K2I;
A8MT69	reviewed	CENPX_HUMAN	Centromere protein X, CENP-X (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	Homo sapiens (Human)	81	CENPX	CENPX FAAP10 MHF2 STRA13	4DRA;4DRB;4E44;4E45;4NDY;4NE1;4NE3;4NE5;4NE6;
A8MTZ0	reviewed	BBIP1_HUMAN	BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa)	Homo sapiens (Human)	92	BBIP1	BBIP1 BBIP10 NCRNA00081	6XT9;
A8MW95	reviewed	BECN2_HUMAN	Beclin-2 (Beclin-1 autophagy-related pseudogene 1) (Beclin-1-like protein 1)	Homo sapiens (Human)	431	BECN2	BECN2 BECN1L1 BECN1P1	5K7B;5K9L;
A8MYU2	reviewed	KCNU1_HUMAN	Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)	Homo sapiens (Human)	1149	KCNU1	KCNU1 KCNMA3 KCNMC1 SLO3	4HPF;
A9YTQ3	reviewed	AHRR_HUMAN	Aryl hydrocarbon receptor repressor, AhR repressor, AhRR (Class E basic helix-loop-helix protein 77, bHLHe77)	Homo sapiens (Human)	701	AHRR	AHRR BHLHE77 KIAA1234	5Y7Y;
B1AL88	reviewed	NALF1_HUMAN	NALCN channel auxiliary factor 1 (Transmembrane protein FAM155A)	Homo sapiens (Human)	458	NALF1	NALF1 FAM155A NLF-1	6XIW;7CM3;7SX3;7SX4;
B2RXH2	reviewed	KDM4E_HUMAN	Lysine-specific demethylase 4E, EC 1.14.11.66 (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)	Homo sapiens (Human)	506	KDM4E	KDM4E KDM4DL	2W2I;
B7Z8K6	reviewed	TRDC_HUMAN	T cell receptor delta constant	Homo sapiens (Human)	153	TRDC	TRDC	1HXM;
D3W0D1	reviewed	KLRF2_HUMAN	Killer cell lectin-like receptor subfamily F member 2, Lectin-like receptor F2 (Activating coreceptor NKp65)	Homo sapiens (Human)	207	KLRF2	KLRF2	4IOP;
D6RGH6	reviewed	MCIN_HUMAN	Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein, McIdas protein) (Protein Idas)	Homo sapiens (Human)	385	MCIDAS	MCIDAS IDAS MCI MCIN	4BRY;
G2XKQ0	reviewed	SUMO5_HUMAN	Small ubiquitin-related modifier 5, SUMO-5 (SUMO1 pseudogene 1) (Ubiquitin-like 2) (Ubiquitin-like 6)	Homo sapiens (Human)	101	SUMO1P1	SUMO1P1 SUMO5 UBL2 UBL6	6IAM;
O00139	reviewed	KIF2A_HUMAN	Kinesin-like protein KIF2A (Kinesin-2, hK2)	Homo sapiens (Human)	706	KIF2A	KIF2A KIF2 KNS2	2GRY;6BBN;
O00141	reviewed	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1, EC 2.7.11.1 (Serum/glucocorticoid-regulated kinase 1)	Homo sapiens (Human)	431	SGK1	SGK1 SGK	2R5T;3HDM;3HDN;7PUE;
O00151	reviewed	PDLI1_HUMAN	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	Homo sapiens (Human)	329	PDLIM1	PDLIM1 CLIM1 CLP36	1X62;2PKT;
O00154	reviewed	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase, EC 3.1.2.2 (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase, BACH, hBACH) (CTE-IIa, CTE-II) (Long chain acyl-CoA thioester hydrolase)	Homo sapiens (Human)	380	ACOT7	ACOT7 BACH	2QQ2;
O00159	reviewed	MYO1C_HUMAN	Unconventional myosin-Ic (Myosin I beta, MMI-beta, MMIb)	Homo sapiens (Human)	1063	MYO1C	MYO1C	4BYF;
O00161	reviewed	SNP23_HUMAN	Synaptosomal-associated protein 23, SNAP-23 (Vesicle-membrane fusion protein SNAP-23)	Homo sapiens (Human)	211	SNAP23	SNAP23	1NHL;3ZUS;
O00167	reviewed	EYA2_HUMAN	Eyes absent homolog 2, EC 3.1.3.48	Homo sapiens (Human)	538	EYA2	EYA2 EAB1	3GEB;3HB0;3HB1;4EGC;5ZMA;7F8G;7F8H;
O00168	reviewed	PLM_HUMAN	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	Homo sapiens (Human)	92	FXYD1	FXYD1 PLM	2JO1;
O00170	reviewed	AIP_HUMAN	AH receptor-interacting protein, AIP (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2, XAP-2) (Immunophilin homolog ARA9)	Homo sapiens (Human)	330	AIP	AIP XAP2	2LKN;4AIF;4APO;
O00175	reviewed	CCL24_HUMAN	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2, Eotaxin-2) (Myeloid progenitor inhibitory factor 2, MPIF-2) (Small-inducible cytokine A24)	Homo sapiens (Human)	119	CCL24	CCL24 MPIF2 SCYA24	1EIG;1EIH;
O00180	reviewed	KCNK1_HUMAN	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	Homo sapiens (Human)	336	KCNK1	KCNK1 HOHO1 KCNO1 TWIK1	3UKM;
O00182	reviewed	LEG9_HUMAN	Galectin-9, Gal-9 (Ecalectin) (Tumor antigen HOM-HD-21)	Homo sapiens (Human)	355	LGALS9	LGALS9	2EAK;2EAL;2YY1;2ZHK;2ZHL;2ZHM;2ZHN;3LSD;3LSE;3NV1;3NV2;3NV3;3NV4;3WLU;3WV6;
O00187	reviewed	MASP2_HUMAN	Mannan-binding lectin serine protease 2, EC 3.4.21.104 (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2, MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain ]	Homo sapiens (Human)	686	MASP2	MASP2	1Q3X;1SZB;1ZJK;3TVJ;4FXG;5JPM;
O00189	reviewed	AP4M1_HUMAN	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2, mu-ARP2) (Mu4-adaptin, mu4)	Homo sapiens (Human)	453	AP4M1	AP4M1 MUARP2	3L81;4MDR;
O00194	reviewed	RB27B_HUMAN	Ras-related protein Rab-27B, EC 3.6.5.2 (C25KG)	Homo sapiens (Human)	218	RAB27B	RAB27B	2F7S;
O00198	reviewed	HRK_HUMAN	Activator of apoptosis harakiri (BH3-interacting domain-containing protein 3) (Neuronal death protein DP5)	Homo sapiens (Human)	91	HRK	HRK BID3	2L58;2L5B;6XY4;
O00204	reviewed	ST2B1_HUMAN	Sulfotransferase 2B1, EC 2.8.2.2 (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1, ST2B1)	Homo sapiens (Human)	365	SULT2B1	SULT2B1 HSST2	1Q1Q;1Q1Z;1Q20;1Q22;
O00206	reviewed	TLR4_HUMAN	Toll-like receptor 4 (hToll) (CD antigen CD284)	Homo sapiens (Human)	839	TLR4	TLR4	2Z62;2Z63;2Z65;2Z66;3FXI;3UL7;3UL8;3UL9;3ULA;4G8A;5NAM;5NAO;
O00212	reviewed	RHOD_HUMAN	Rho-related GTP-binding protein RhoD (Rho-related protein HP1, RhoHP1)	Homo sapiens (Human)	210	RHOD	RHOD ARHD	2J1L;7KDC;
O00213	reviewed	APBB1_HUMAN	Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65)	Homo sapiens (Human)	710	APBB1	APBB1 FE65 RIR	2E45;2HO2;2IDH;2OEI;3D8D;3D8E;3D8F;3DXC;3DXD;3DXE;5NQH;
O00214	reviewed	LEG8_HUMAN	Galectin-8, Gal-8 (Po66 carbohydrate-binding protein, Po66-CBP) (Prostate carcinoma tumor antigen 1, PCTA-1)	Homo sapiens (Human)	317	LGALS8	LGALS8	2YRO;2YV8;2YXS;3AP4;3AP5;3AP6;3AP7;3AP9;3APB;3OJB;3VKL;3VKM;3VKN;3VKO;4BMB;4BME;4FQZ;4GXL;4HAN;5GZC;5GZD;5GZE;5GZF;5GZG;5T7I;5T7S;5T7T;5T7U;5VWG;6W4Z;6Z6Y;7AEN;7ALS;7P1M;
O00217	reviewed	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial, EC 7.1.1.2 (Complex I-23kD, CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	Homo sapiens (Human)	210	NDUFS8	NDUFS8	5XTB;5XTD;5XTH;5XTI;
O00220	reviewed	TR10A_HUMAN	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1, TRAIL receptor 1, TRAIL-R1) (CD antigen CD261)	Homo sapiens (Human)	468	TNFRSF10A	TNFRSF10A APO2 DR4 TRAILR1	5CIR;
O00222	reviewed	GRM8_HUMAN	Metabotropic glutamate receptor 8, mGluR8	Homo sapiens (Human)	908	GRM8	GRM8 GPRC1H MGLUR8	6BSZ;6BT5;6E5V;
O00230	reviewed	CORT_HUMAN	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17 ]	Homo sapiens (Human)	105	CORT	CORT UNQ307/PRO350	7VDL;7VV4;
O00231	reviewed	PSD11_HUMAN	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	Homo sapiens (Human)	422	PSMD11	PSMD11	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;
O00232	reviewed	PSD12_HUMAN	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	Homo sapiens (Human)	456	PSMD12	PSMD12	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6WJD;6WJN;
O00238	reviewed	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B, BMP type-1B receptor, BMPR-1B, EC 2.7.11.30 (CD antigen CDw293)	Homo sapiens (Human)	502	BMPR1B	BMPR1B	3MDY;
O00241	reviewed	SIRB1_HUMAN	Signal-regulatory protein beta-1, SIRP-beta-1 (CD172 antigen-like family member B) (CD antigen CD172b)	Homo sapiens (Human)	398	SIRPB1	SIRPB1	2D9C;2JJU;
O00244	reviewed	ATOX1_HUMAN	Copper transport protein ATOX1 (Metal transport protein ATX1)	Homo sapiens (Human)	68	ATOX1	ATOX1 HAH1	1FE0;1FE4;1FEE;1TL4;1TL5;2K1R;2LQ9;3CJK;3IWL;3IWX;4QOT;4YDX;4YEA;5F0W;5T7L;7DC1;7ZC3;
O00253	reviewed	AGRP_HUMAN	Agouti-related protein	Homo sapiens (Human)	132	AGRP	AGRP AGRT ART	1HYK;1MR0;
O00255	reviewed	MEN1_HUMAN	Menin	Homo sapiens (Human)	615	MEN1	MEN1 SCG2	3U84;3U85;3U86;3U88;4GPQ;4GQ3;4GQ4;4GQ6;4I80;4OG3;4OG4;4OG5;4OG6;4OG7;4OG8;4X5Y;4X5Z;5DB0;5DB1;5DB2;5DB3;5DD9;5DDA;5DDB;5DDC;5DDD;5DDE;5DDF;6B41;6BXH;6BXY;6BY8;6E1A;6O5I;6OPJ;6PKC;6S2K;6WNH;7M4T;
O00257	reviewed	CBX4_HUMAN	E3 SUMO-protein ligase CBX4, EC 2.3.2.- (Chromobox protein homolog 4) (Polycomb 2 homolog, Pc2, hPc2)	Homo sapiens (Human)	560	CBX4	CBX4	2K28;3I8Z;5EPL;
O00258	reviewed	GET1_HUMAN	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)	Homo sapiens (Human)	174	GET1	GET1 CHD5 WRB	6SO5;
O00264	reviewed	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1, mPR (Dap1) (IZA)	Homo sapiens (Human)	195	PGRMC1	PGRMC1 HPR6.6 PGRMC	4X8Y;
O00267	reviewed	SPT5H_HUMAN	Transcription elongation factor SPT5, hSPT5 (DRB sensitivity-inducing factor 160 kDa subunit, DSIF p160) (DRB sensitivity-inducing factor large subunit, DSIF large subunit) (Tat-cotransactivator 1 protein, Tat-CT1 protein)	Homo sapiens (Human)	1087	SUPT5H	SUPT5H SPT5 SPT5H	2DO3;2E6Z;2E70;3H7H;4L1U;5OHO;5OHQ;5OIK;5U98;6EQY;6ER0;6GMH;6GML;6TED;7OKX;7OKY;7OL0;7PKS;
O00268	reviewed	TAF4_HUMAN	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit, TAF(II)130, TAFII-130, TAFII130) (Transcription initiation factor TFIID 135 kDa subunit, TAF(II)135, TAFII-135, TAFII135)	Homo sapiens (Human)	1085	TAF4	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	1H3O;2P6V;6MZC;6MZD;6MZL;6MZM;7EDX;7EG7;7EG8;7EG9;7EGA;7EGB;7EGC;7EGD;7EGE;7EGF;7EGG;7EGI;7EGJ;7ENA;7ENC;
O00273	reviewed	DFFA_HUMAN	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit, DFF-45) (Inhibitor of CAD, ICAD)	Homo sapiens (Human)	331	DFFA	DFFA DFF1 DFF45 H13	1IBX;1IYR;1KOY;
O00287	reviewed	RFXAP_HUMAN	Regulatory factor X-associated protein, RFX-associated protein (RFX DNA-binding complex 36 kDa subunit)	Homo sapiens (Human)	272	RFXAP	RFXAP	2KW3;
O00291	reviewed	HIP1_HUMAN	Huntingtin-interacting protein 1, HIP-1 (Huntingtin-interacting protein I, HIP-I)	Homo sapiens (Human)	1037	HIP1	HIP1	2NO2;2QA7;3I00;
O00294	reviewed	TULP1_HUMAN	Tubby-related protein 1 (Tubby-like protein 1)	Homo sapiens (Human)	542	TULP1	TULP1 TUBL1	2FIM;3C5N;
O00299	reviewed	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27, NCC27) (Regulatory nuclear chloride ion channel protein, hRNCC)	Homo sapiens (Human)	241	CLIC1	CLIC1 G6 NCC27	1K0M;1K0N;1K0O;1RK4;3O3T;3P8W;3P90;3QR6;3SWL;3TGZ;3UVH;4IQA;4JZQ;4K0G;4K0N;7F8R;
O00300	reviewed	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	Homo sapiens (Human)	401	TNFRSF11B	TNFRSF11B OCIF OPG	3URF;
O00303	reviewed	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F, eIF3f (Deubiquitinating enzyme eIF3f, EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	Homo sapiens (Human)	357	EIF3F	EIF3F EIF3S5	3J8B;3J8C;6YBD;6ZMW;6ZON;6ZP4;6ZVJ;7A09;
O00305	reviewed	CACB4_HUMAN	Voltage-dependent L-type calcium channel subunit beta-4, CAB4 (Calcium channel voltage-dependent subunit beta 4)	Homo sapiens (Human)	520	CACNB4	CACNB4 CACNLB4	2D46;
O00308	reviewed	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2, EC 2.3.2.26 (Atrophin-1-interacting protein 2, AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	Homo sapiens (Human)	870	WWP2	WWP2	4Y07;5TJ7;5TJ8;5TJQ;6J1Z;6RSS;
O00311	reviewed	CDC7_HUMAN	Cell division cycle 7-related protein kinase, CDC7-related kinase, HsCdc7, huCdc7, EC 2.7.11.1	Homo sapiens (Human)	574	CDC7	CDC7 CDC7L1	4F99;4F9A;4F9B;4F9C;5UWQ;5UWR;6YA6;6YA7;6YA8;
O00327	reviewed	BMAL1_HUMAN	Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5, bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	Homo sapiens (Human)	626	ARNTL	ARNTL BHLHE5 BMAL1 MOP3 PASD3	4H10;
O00329	reviewed	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform, PI3-kinase subunit delta, PI3K-delta, PI3Kdelta, PtdIns-3-kinase subunit delta, EC 2.7.1.137, EC 2.7.1.153 (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta, PtdIns-3-kinase subunit p110-delta, p110delta)	Homo sapiens (Human)	1044	PIK3CD	PIK3CD	5DXU;5M6U;5T8F;5UBT;5VLR;6G6W;6OCO;6OCU;6PYR;6PYU;7JIS;7LM2;7LQ1;
O00330	reviewed	ODPX_HUMAN	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein, E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	Homo sapiens (Human)	501	PDHX	PDHX PDX1	1ZY8;2DNC;2F5Z;2F60;6H60;
O00338	reviewed	ST1C2_HUMAN	Sulfotransferase 1C2, ST1C2, EC 2.8.2.1 (Sulfotransferase 1C1, SULT1C#1) (humSULTC2)	Homo sapiens (Human)	296	SULT1C2	SULT1C2 SULT1C1	3BFX;
O00370	reviewed	LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein, ORF2p [Includes: Reverse transcriptase, EC 2.7.7.49; Endonuclease, EC 3.1.21.- ]	Homo sapiens (Human)	1275			1VYB;2V0R;2V0S;7N8K;7N8S;7N94;
O00391	reviewed	QSOX1_HUMAN	Sulfhydryl oxidase 1, hQSOX, EC 1.8.3.2 (Quiescin Q6)	Homo sapiens (Human)	747	QSOX1	QSOX1 QSCN6 UNQ2520/PRO6013	3LLI;3LLK;3Q6O;4IJ3;
O00401	reviewed	WASL_HUMAN	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein, N-WASP)	Homo sapiens (Human)	505	WASL	WASL	2FF3;2LNH;2VCP;4CC2;4CC7;
O00408	reviewed	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase, EC 3.1.4.17 (Cyclic GMP-stimulated phosphodiesterase, CGS-PDE, cGSPDE)	Homo sapiens (Human)	941	PDE2A	PDE2A	1Z1L;3IBJ;3ITM;3ITU;4C1I;4D08;4D09;4HTX;4HTZ;4JIB;5TZ3;5TZA;5TZC;5TZH;5TZW;5TZX;5TZZ;5U00;5U7D;5U7I;5U7J;5U7K;5U7L;5VP0;5VP1;5XKM;6B96;6B97;6B98;6BLF;6C7D;6C7E;6C7F;6C7G;6C7I;6C7J;6CYB;6CYC;6CYD;6ZND;6ZQZ;
