Entry	Status	Ensembl transcript	Gene names  (primary )	3D	Cross-reference (InterPro)	Organism
A0A3B3ISJ4	unreviewed	ENST00000648452;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
E9PEP6	unreviewed	ENST00000395995;	NRP1		IPR013320;IPR000859;IPR000421;IPR008979;IPR000998;IPR014648;IPR022579;IPR027146;IPR035914;	Homo sapiens (Human)
J3KPH8	unreviewed	ENST00000380610;	HDAC7		IPR000286;IPR023801;IPR037138;IPR017320;IPR023696;	Homo sapiens (Human)
H0YK07	unreviewed	ENST00000559218;	CLPX		IPR010603;	Homo sapiens (Human)
A0A2R8YGD1	unreviewed	ENST00000644810;	TPP1		IPR000209;IPR036852;IPR015366;IPR030400;	Homo sapiens (Human)
F8VRR3	unreviewed	ENST00000550777;	METAP2		IPR036005;IPR000994;IPR001714;IPR002468;IPR018349;IPR036388;IPR036390;	Homo sapiens (Human)
E7EPT4	unreviewed	ENST00000400033;	NDUFV2		IPR002023;IPR042128;IPR041921;IPR036249;	Homo sapiens (Human)
A6NCB9	unreviewed	ENST00000303824;	EYA1		IPR006545;IPR042577;IPR038102;IPR028472;IPR028471;	Homo sapiens (Human)
A1E5M1	unreviewed	ENST00000615259;	PDE7B		IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
G3V1D3	unreviewed	ENST00000532677;	DPP3		IPR005317;IPR039461;	Homo sapiens (Human)
H0YMB3	unreviewed	ENST00000559910;	GMPR2		IPR013785;IPR005993;IPR015875;IPR001093;	Homo sapiens (Human)
K7EIM9	unreviewed	ENST00000589145;ENST00000590175;	CYGB		IPR000971;IPR009050;IPR012292;IPR013314;	Homo sapiens (Human)
A0A3B3ISS7	unreviewed	ENST00000648834;ENST00000648939;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
B4DYP1	unreviewed	ENST00000633113;	DDAH1		IPR033199;IPR033197;	Homo sapiens (Human)
A0A087X296	unreviewed	ENST00000619306;	PTGS1		IPR029580;IPR000742;IPR019791;IPR010255;IPR037120;	Homo sapiens (Human)
A0A6Q8PGN5	unreviewed	ENST00000675853;	AARS1		IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
A0A2R8YGM9	unreviewed	ENST00000644712;	EYA1		IPR006545;IPR042577;IPR038102;IPR028472;IPR028471;	Homo sapiens (Human)
Q5T7F0	unreviewed	ENST00000374823;	NRP1		IPR000859;IPR000421;IPR008979;IPR014648;IPR035914;	Homo sapiens (Human)
E7EN38	unreviewed	ENST00000453394;	RAD50		IPR027417;IPR038729;IPR004584;IPR013134;	Homo sapiens (Human)
F2Z2Y1	unreviewed	ENST00000531901;	EYA4		IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	Homo sapiens (Human)
A0A3B3IT84	unreviewed	ENST00000648870;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
A0A0C4DGB6	unreviewed	ENST00000509063;	ALB		IPR000264;IPR020858;IPR021177;IPR020857;IPR014760;	Homo sapiens (Human)
A0A6Q8PGE8	unreviewed	ENST00000675133;	AARS1		IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
E9PMB9	unreviewed	ENST00000524826;	ME3		IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	Homo sapiens (Human)
D6RBJ9	unreviewed	ENST00000503182;	DCTD		IPR016192;IPR002125;IPR016193;IPR016473;IPR015517;IPR035105;	Homo sapiens (Human)
E9PD25	unreviewed	ENST00000507499;	TLL1		IPR015446;IPR000859;IPR001881;IPR000742;IPR000152;IPR018097;IPR024079;IPR001506;IPR006026;IPR035914;IPR034036;	Homo sapiens (Human)
J3QKX5	unreviewed	ENST00000581447;	MEP1B		IPR013320;IPR000742;IPR000998;IPR002083;IPR008294;IPR034302;IPR024079;IPR001506;IPR006026;IPR008974;IPR034038;	Homo sapiens (Human)
E7EUJ1	unreviewed	ENST00000414170;	LIPC		IPR029058;IPR013818;IPR002333;IPR016272;IPR033906;IPR001024;IPR036392;IPR000734;	Homo sapiens (Human)
H0YLV5	unreviewed	ENST00000559104;	GMPR2		IPR013785;IPR005993;IPR015875;IPR001093;	Homo sapiens (Human)
E7EQM5	unreviewed	ENST00000388741;	EYA1		IPR006545;IPR042577;IPR038102;IPR028472;IPR028471;	Homo sapiens (Human)
A6NGJ7	unreviewed	ENST00000373568;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
A0A7I2V3Z0	unreviewed	ENST00000381075;ENST00000676796;	PFKP		IPR009161;IPR022953;IPR041914;IPR015912;IPR000023;IPR035966;	Homo sapiens (Human)
B7ZL91	unreviewed	ENST00000611727;	MEP1A		IPR013320;IPR000742;IPR000998;IPR002083;IPR008294;IPR034301;IPR024079;IPR001506;IPR006026;IPR008974;IPR034038;	Homo sapiens (Human)
A0A2R8Y5T7	unreviewed	ENST00000643502;	GSS		IPR005615;IPR014709;IPR014049;IPR037013;IPR004887;IPR016185;	Homo sapiens (Human)
E7EVA8	unreviewed	ENST00000415409;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
A0A1W2PQF8	unreviewed	ENST00000640967;	ME2		IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	Homo sapiens (Human)
A0A024RBG1	reviewed	ENST00000322209;	NUDT4B		IPR015797;IPR020084;IPR000086;	Homo sapiens (Human)
Q8NDH3	reviewed	ENST00000356091 [Q8NDH3-1];ENST00000525817 [Q8NDH3-5];ENST00000525967 [Q8NDH3-4];	NPEPL1		IPR011356;IPR041417;IPR000819;	Homo sapiens (Human)
O15067	reviewed	ENST00000314666;	PFAS		IPR029062;IPR040707;IPR017926;IPR010073;IPR041609;IPR010918;IPR036676;IPR036921;IPR036604;	Homo sapiens (Human)
Q9ULI2	reviewed	ENST00000357529 [Q9ULI2-1];ENST00000535829 [Q9ULI2-1];ENST00000538135 [Q9ULI2-1];ENST00000544257 [Q9ULI2-2];ENST00000619374 [Q9ULI2-2];	RIMKLB		IPR011761;IPR013651;IPR013815;IPR004666;	Homo sapiens (Human)
Q9BXT4	reviewed	ENST00000251864 [Q9BXT4-3];	TDRD1	X-ray crystallography (1)	IPR035437;IPR002999;IPR002893;	Homo sapiens (Human)
Q7RTY7	reviewed	ENST00000318184;	OVCH1		IPR000859;IPR009003;IPR043504;IPR001314;IPR035914;IPR001254;IPR018114;IPR033116;	Homo sapiens (Human)
P0CI26	reviewed	ENST00000448984;	TRIM49C		IPR001870;IPR043136;IPR003879;IPR013320;IPR003877;IPR000315;IPR001841;IPR013083;	Homo sapiens (Human)
Q6ZTA4	reviewed	ENST00000366653 [Q6ZTA4-3];ENST00000449018 [Q6ZTA4-2];	TRIM67		IPR001870;IPR043136;IPR003649;IPR013320;IPR017903;IPR003961;IPR036116;IPR013783;IPR003877;IPR000315;IPR018957;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q96MI6	reviewed	ENST00000296487 [Q96MI6-1];ENST00000409502 [Q96MI6-4];	PPM1M		IPR015655;IPR036457;IPR001932;	Homo sapiens (Human)
P35243	reviewed	ENST00000226193;	RCVRN	X-ray crystallography (1)	IPR011992;IPR018247;IPR002048;IPR028846;	Homo sapiens (Human)
Q9Y644	reviewed	ENST00000310496;	RFNG		IPR017374;IPR003378;	Homo sapiens (Human)
Q15283	reviewed	ENST00000286364 [Q15283-2];	RASA2		IPR000008;IPR035892;IPR011993;IPR001849;IPR039360;IPR037773;IPR023152;IPR001936;IPR008936;IPR001562;	Homo sapiens (Human)
Q15493	reviewed	ENST00000336169 [Q15493-1];ENST00000352078 [Q15493-1];ENST00000397180 [Q15493-1];ENST00000457380 [Q15493-2];	RGN	X-ray crystallography (4)	IPR011042;IPR008367;IPR013658;IPR005511;	Homo sapiens (Human)
Q8WVD3	reviewed	ENST00000257190 [Q8WVD3-2];ENST00000261593 [Q8WVD3-1];	RNF138		IPR008598;IPR034734;IPR001841;IPR013083;	Homo sapiens (Human)
O60930	reviewed	ENST00000315212;	RNASEH1	X-ray crystallography (5)	IPR009027;IPR017067;IPR011320;IPR037056;IPR012337;IPR002156;IPR036397;	Homo sapiens (Human)
Q96A37	reviewed	ENST00000312838 [Q96A37-1];ENST00000537718 [Q96A37-2];ENST00000541206 [Q96A37-2];ENST00000567844 [Q96A37-3];	RNF166		IPR008598;IPR034734;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
P23975	reviewed	ENST00000219833 [P23975-2];ENST00000379906 [P23975-1];ENST00000567238 [P23975-3];ENST00000568943 [P23975-1];	SLC6A2		IPR000175;IPR002435;IPR037272;	Homo sapiens (Human)
Q15465	reviewed	ENST00000297261;	SHH	Electron microscopy (8); X-ray crystallography (4)	IPR001657;IPR001767;IPR009045;IPR000320;IPR003586;IPR003587;IPR036844;IPR006141;	Homo sapiens (Human)
Q8WXG1	reviewed	ENST00000382040;ENST00000680607;	RSAD2		IPR013785;IPR006638;IPR007197;	Homo sapiens (Human)
Q9Y3I0	reviewed	ENST00000216038;	RTCB		IPR001233;IPR036025;IPR027513;	Homo sapiens (Human)
Q9H7B4	reviewed	ENST00000490107 [Q9H7B4-1];ENST00000630181 [Q9H7B4-3];	SMYD3	X-ray crystallography (26)	IPR025805;IPR001214;IPR044420;IPR011990;IPR002893;	Homo sapiens (Human)
Q9H6E5	reviewed	ENST00000476907;	TUT1	X-ray crystallography (6); NMR spectroscopy (1)	IPR043519;IPR012677;IPR002058;IPR035979;IPR000504;IPR034388;IPR036236;	Homo sapiens (Human)
Q05952	reviewed	ENST00000312693;	TNP2		IPR000678;	Homo sapiens (Human)
Q7Z4N8	reviewed	ENST00000331597 [Q7Z4N8-1];ENST00000427714 [Q7Z4N8-3];ENST00000524388 [Q7Z4N8-2];	P4HA3		IPR005123;IPR006620;IPR013547;IPR011990;	Homo sapiens (Human)
Q9UQ90	reviewed	ENST00000341316 [Q9UQ90-2];ENST00000645818 [Q9UQ90-1];ENST00000646263 [Q9UQ90-2];	SPG7	X-ray crystallography (1)	IPR003593;IPR041569;IPR003959;IPR005936;IPR027417;IPR011546;IPR000642;IPR037219;	Homo sapiens (Human)
Q6XYQ8	reviewed	ENST00000228567;	SYT10		IPR000008;IPR035892;IPR001565;IPR028677;	Homo sapiens (Human)
O15016	reviewed	ENST00000299550 [O15016-1];	TRIM66	X-ray crystallography (2)	IPR003649;IPR001487;IPR036427;IPR037372;IPR019786;IPR000315;IPR011011;IPR001965;IPR019787;	Homo sapiens (Human)
Q96A61	reviewed	ENST00000611618 [Q96A61-1];	TRIM52		IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q9NPF4	reviewed	ENST00000206542;	OSGEP	X-ray crystallography (1)	IPR043129;IPR000905;IPR017861;IPR034680;IPR017860;	Homo sapiens (Human)
P16499	reviewed	ENST00000255266;	PDE6A		IPR003018;IPR029016;IPR003607;IPR032958;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
Q9BWT3	reviewed	ENST00000238714 [Q9BWT3-1];	PAPOLG	X-ray crystallography (1)	IPR043519;IPR011068;IPR007012;IPR007010;IPR002934;	Homo sapiens (Human)
Q8N3E9	reviewed	ENST00000619929;	PLCD3		IPR000008;IPR035892;IPR011992;IPR018247;IPR011993;IPR001849;IPR001192;IPR028406;IPR039504;IPR017946;IPR000909;IPR001711;	Homo sapiens (Human)
Q96EQ8	reviewed	ENST00000217740;	RNF125	X-ray crystallography (1)	IPR008598;IPR034734;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q9Y508	reviewed	ENST00000244061 [Q9Y508-1];	RNF114		IPR008598;IPR042716;IPR034734;IPR027370;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q15436	reviewed	ENST00000307712 [Q15436-1];ENST00000537403 [Q15436-2];	SEC23A	X-ray crystallography (22); NMR spectroscopy (2)	IPR029006;IPR007123;IPR036180;IPR037364;IPR006900;IPR036175;IPR006896;IPR012990;IPR037550;IPR036465;IPR006895;IPR036174;	Homo sapiens (Human)
P01033	reviewed	ENST00000218388;	TIMP1	Model (1); X-ray crystallography (6); NMR spectroscopy (2)	IPR001134;IPR001820;IPR008993;IPR015611;IPR027465;IPR030490;	Homo sapiens (Human)
P29401	reviewed	ENST00000423516 [P29401-2];ENST00000423525 [P29401-1];ENST00000462138 [P29401-1];	TKT	X-ray crystallography (10)	IPR029061;IPR009014;IPR005475;IPR020826;IPR033248;IPR005474;	Homo sapiens (Human)
O14746	reviewed	ENST00000310581 [O14746-1];ENST00000334602 [O14746-3];ENST00000460137 [O14746-4];	TERT	X-ray crystallography (9)	IPR043502;IPR000477;IPR021891;IPR003545;	Homo sapiens (Human)
O75844	reviewed	ENST00000372759;	ZMPSTE24	X-ray crystallography (4)	IPR027057;IPR001915;IPR032456;	Homo sapiens (Human)
Q86SF2	reviewed	ENST00000265000;	GALNT7	X-ray crystallography (2)	IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
Q10472	reviewed	ENST00000269195 [Q10472-1];ENST00000591081 [Q10472-2];ENST00000591924 [Q10472-2];	GALNT1		IPR001173;IPR029044;IPR035992;IPR000772;	Homo sapiens (Human)
Q9BQQ3	reviewed	ENST00000319283 [Q9BQQ3-1];ENST00000431601 [Q9BQQ3-3];ENST00000452389 [Q9BQQ3-2];	GORASP1	X-ray crystallography (3)	IPR007583;IPR024958;IPR036034;	Homo sapiens (Human)
P49441	reviewed	ENST00000322522;ENST00000392329;	INPP1		IPR020583;IPR000760;IPR020550;	Homo sapiens (Human)
P12268	reviewed	ENST00000326739;	IMPDH2	Electron microscopy (13); X-ray crystallography (5)	IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	Homo sapiens (Human)
Q6B0I6	reviewed	ENST00000335080;ENST00000536741;ENST00000610872;	KDM4D	X-ray crystallography (280)	IPR003347;IPR003349;	Homo sapiens (Human)
P05771	reviewed	ENST00000321728 [P05771-1];ENST00000643927 [P05771-2];	PRKCB	X-ray crystallography (1)	IPR000961;IPR000008;IPR035892;IPR034664;IPR020454;IPR011009;IPR002219;IPR017892;IPR000719;IPR017441;IPR014375;IPR008271;	Homo sapiens (Human)
Q6MZP7	reviewed	ENST00000340417 [Q6MZP7-1];ENST00000442461 [Q6MZP7-3];ENST00000446851 [Q6MZP7-3];ENST00000505397 [Q6MZP7-1];ENST00000506560 [Q6MZP7-2];ENST00000508171 [Q6MZP7-5];ENST00000510557 [Q6MZP7-3];	LIN54	X-ray crystallography (1)	IPR005172;IPR028307;IPR033467;	Homo sapiens (Human)
Q9NTJ4	reviewed	ENST00000267978 [Q9NTJ4-1];ENST00000563622 [Q9NTJ4-3];ENST00000565683 [Q9NTJ4-4];ENST00000569482 [Q9NTJ4-2];	MAN2C1		IPR011013;IPR041147;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;	Homo sapiens (Human)
Q9ULU4	reviewed	ENST00000262975 [Q9ULU4-9];ENST00000311275 [Q9ULU4-1];ENST00000352431 [Q9ULU4-12];ENST00000355972 [Q9ULU4-11];ENST00000360911 [Q9ULU4-14];ENST00000372023 [Q9ULU4-23];ENST00000396281 [Q9ULU4-20];ENST00000446994 [Q9ULU4-11];ENST00000458360 [Q9ULU4-17];ENST00000461685 [Q9ULU4-13];ENST00000471951 [Q9ULU4-7];ENST00000536340 [Q9ULU4-19];ENST00000540497 [Q9ULU4-18];	ZMYND8	X-ray crystallography (4)	IPR001487;IPR036427;IPR044075;IPR000313;IPR037967;IPR019786;IPR021931;IPR035505;IPR011011;IPR002893;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
P62714	reviewed	ENST00000221138;	PPP2CB		IPR004843;IPR029052;IPR006186;	Homo sapiens (Human)
Q6ZMZ0	reviewed	ENST00000235150 [Q6ZMZ0-4];ENST00000356990 [Q6ZMZ0-2];ENST00000373456 [Q6ZMZ0-1];	RNF19B		IPR031127;IPR002867;IPR044066;IPR001841;IPR013083;	Homo sapiens (Human)
Q6ZSG1	reviewed	ENST00000269439 [Q6ZSG1-1];ENST00000543885 [Q6ZSG1-2];	RNF165	X-ray crystallography (5)	IPR001841;IPR011016;IPR013083;	Homo sapiens (Human)
O15198	reviewed	ENST00000350148 [O15198-2];ENST00000379826 [O15198-1];	SMAD9	X-ray crystallography (1)	IPR013790;IPR003619;IPR013019;IPR017855;IPR001132;IPR008984;IPR036578;	Homo sapiens (Human)
Q93075	reviewed	ENST00000287652;ENST00000448281;	TATDN2		IPR018228;IPR032466;IPR001130;	Homo sapiens (Human)
P27708	reviewed	ENST00000264705;	CAD	X-ray crystallography (34)	IPR006680;IPR006132;IPR006130;IPR036901;IPR002082;IPR006131;IPR011761;IPR013815;IPR006275;IPR005480;IPR036897;IPR006274;IPR002474;IPR036480;IPR005479;IPR005483;IPR029062;IPR035686;IPR002195;IPR017926;IPR011059;IPR032466;IPR011607;IPR036914;IPR016185;	Homo sapiens (Human)
O95602	reviewed	ENST00000263857;	POLR1A		IPR015699;IPR000722;IPR006592;IPR007080;IPR007066;IPR042102;IPR007083;IPR007081;IPR038120;	Homo sapiens (Human)
Q86SK9	reviewed	ENST00000273908 [Q86SK9-2];ENST00000319540 [Q86SK9-1];	SCD5		IPR015876;IPR005804;IPR001522;	Homo sapiens (Human)
Q9BV57	reviewed	ENST00000327435 [Q9BV57-1];ENST00000382093 [Q9BV57-2];	ADI1	X-ray crystallography (1); NMR spectroscopy (1)	IPR004313;IPR027496;IPR014710;IPR011051;	Homo sapiens (Human)
O15305	reviewed	ENST00000268261 [O15305-1];ENST00000566604 [O15305-2];	PMM2	X-ray crystallography (2)	IPR036412;IPR006379;IPR023214;IPR005002;IPR043169;	Homo sapiens (Human)
P51687	reviewed	ENST00000266971;ENST00000356124;ENST00000394109;ENST00000394115;ENST00000548274;ENST00000550065;	SUOX	X-ray crystallography (1)	IPR001199;IPR036400;IPR018506;IPR014756;IPR005066;IPR008335;IPR000572;IPR036374;IPR022407;	Homo sapiens (Human)
Q9NWX6	reviewed	ENST00000231198;	THG1L	X-ray crystallography (4)	IPR025845;IPR024956;IPR007537;IPR038469;	Homo sapiens (Human)
A6NDG6	reviewed	ENST00000333503;	PGP		IPR036412;IPR006357;IPR023214;IPR006349;	Homo sapiens (Human)
P27169	reviewed	ENST00000222381;	PON1	Model (1); X-ray crystallography (1)	IPR011042;IPR002640;IPR008363;	Homo sapiens (Human)
Q3MIT2	reviewed	ENST00000316752;ENST00000407787;	PUS10	X-ray crystallography (1)	IPR020103;IPR039894;	Homo sapiens (Human)
Q5VWQ0	reviewed	ENST00000261441 [Q5VWQ0-1];ENST00000612242 [Q5VWQ0-1];	RSBN1		IPR026306;	Homo sapiens (Human)
