Organism	Gene Symbol	ID	Genetic Location	Genome Coordinates	Build	Associated Human Diseases	Abnormal Mouse Phenotypes	
mouse	Rbbp4	MGI:1194912	Chr4 D2.3	Chr4:129200893-129229163 (-)	GRCm39		cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | immune system | liver/biliary system | mortality/aging | renal/urinary system | skeleton | vision/eye	
mouse	Ctdnep1	MGI:1914431	Chr11 B4	Chr11:69871994-69881427 (+)	GRCm39		cellular | embryo | mortality/aging | renal/urinary system | reproductive system	
mouse	Pdcd10	MGI:1928396	Chr3 E3	Chr3:75423797-75464159 (-)	GRCm39	cerebral cavernous malformation 3	behavior/neurological | cardiovascular system | cellular | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | vision/eye	
mouse	Pik3cb	MGI:1922019	Chr9 E4	Chr9:98920455-99022264 (-)	GRCm39		cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | liver/biliary system | mortality/aging | neoplasm | reproductive system | respiratory system | skeleton	
mouse	Kmt2b	MGI:109565	Chr7 A3	Chr7:30268283-30288151 (-)	GRCm39		adipose tissue | cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | liver/biliary system | mortality/aging | nervous system | reproductive system	
mouse	Epb41l5	MGI:103006		Chr1:119472767-119576730 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | mortality/aging | nervous system | vision/eye	
mouse	Ilk	MGI:1195267	Chr7 E1	Chr7:105385799-105392132 (+)	GRCm39	dilated cardiomyopathy	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | pigmentation | renal/urinary system | respiratory system | skeleton | vision/eye	
mouse	Bcas3	MGI:2385848		Chr11:85243993-85716884 (+)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | mortality/aging	
mouse	Brca2	MGI:109337		Chr5:150446095-150493794 (+)	GRCm39	breast cancer | Fanconi anemia complementation group D1	behavior/neurological | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | neoplasm | nervous system | reproductive system | skeleton	
mouse	Cops6	MGI:1349439	Chr5 G1	Chr5:138159364-138162246 (+)	GRCm39		cellular | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | neoplasm	
mouse	Slc34a2	MGI:1342284		Chr5:53206695-53229006 (+)	GRCm39		digestive/alimentary system | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | renal/urinary system | respiratory system	
mouse	Gne	MGI:1354951	Chr4 B1	Chr4:44034075-44084177 (-)	GRCm39		cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | immune system | mortality/aging | nervous system | renal/urinary system | vision/eye	
mouse	Nckap1	MGI:1355333		Chr2:80330856-80411526 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | embryo | mortality/aging | nervous system	
mouse	Nhlrc2	MGI:1914116		Chr19:56536693-56591935 (+)	GRCm39		embryo | growth/size/body | hematopoietic system | liver/biliary system | mortality/aging | nervous system | reproductive system | respiratory system	
mouse	Nup133	MGI:2442620		Chr8:124623862-124676004 (-)	GRCm39		cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | nervous system	
mouse	Tnnt2	MGI:104597		Chr1:135764092-135779998 (+)	GRCm39	dilated cardiomyopathy 1D | hypertrophic cardiomyopathy 2	cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | immune system | mortality/aging | muscle | nervous system	
mouse	Amot	MGI:108440		ChrX:144229421-144288177 (-)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | mortality/aging | nervous system	
mouse	Cdc20	MGI:1859866		Chr4:118290098-118294540 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | growth/size/body | homeostasis/metabolism | integument | liver/biliary system | mortality/aging | neoplasm | reproductive system	
mouse	Paxip1	MGI:1890430	Chr5 A3	Chr5:27945078-27996689 (-)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | homeostasis/metabolism | integument | mortality/aging	
mouse	Kif11	MGI:1098231		Chr19:37364851-37410307 (+)	GRCm39		embryo | growth/size/body | mortality/aging | reproductive system	
mouse	Cm	MGI:88424				attention deficit hyperactivity disorder	behavior/neurological | cardiovascular system | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | integument | mortality/aging | nervous system | vision/eye	
mouse	Gnl3	MGI:1353651		Chr14:30734390-30741088 (-)	GRCm39		cellular | embryo | growth/size/body | mortality/aging | nervous system | respiratory system	
mouse	Med1	MGI:1100846	Chr11 D	Chr11:98042980-98084119 (-)	GRCm39	congestive heart failure | dilated cardiomyopathy	cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | nervous system | pigmentation | reproductive system | respiratory system | vision/eye	
mouse	Nelfb	MGI:1931035		Chr2:25089724-25101501 (-)	GRCm39		embryo | mortality/aging	
mouse	Nr5a2	MGI:1346834	Chr1 E4	Chr1:136770309-136888186 (-)	GRCm39		cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | reproductive system	
mouse	Suz12	MGI:1261758		Chr11:79883932-79924949 (+)	GRCm39		behavior/neurological | cellular | embryo | growth/size/body | hematopoietic system | immune system | mortality/aging | neoplasm | nervous system | skeleton	
mouse	Tfap2c	MGI:106032	Chr2 H3-H4	Chr2:172391513-172400542 (+)	GRCm39		embryo | growth/size/body | mortality/aging	
mouse	Tgfbrap1	MGI:2447427		Chr1:43086360-43137788 (-)	GRCm39		mortality/aging	
mouse	Tpt1	MGI:104890		Chr14:76082472-76085743 (+)	GRCm39		cellular | embryo | growth/size/body | mortality/aging	
mouse	Uba3	MGI:1341217		Chr6:97160631-97182608 (-)	GRCm39		cellular | embryo | mortality/aging	
mouse	Wdr1	MGI:1337100		Chr5:38684149-38720265 (-)	GRCm39		cardiovascular system | cellular | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | skeleton	
mouse	Wee1	MGI:103075		Chr7:109721266-109742506 (+)	GRCm39		cellular | embryo | hematopoietic system | homeostasis/metabolism | mortality/aging	
mouse	Zfp568	MGI:2142347		Chr7:29683380-29727707 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | mortality/aging | nervous system	
mouse	Rab6a	MGI:894313	Chr7 C4	Chr7:100256778-100290475 (+)	GRCm39		embryo | mortality/aging	
mouse	Rac1	MGI:97845		Chr5:143491236-143513786 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | neoplasm | nervous system | pigmentation | renal/urinary system | reproductive system | vision/eye	
mouse	Ctnnb1	MGI:88276		Chr9:120762466-120789573 (+)	GRCm39	autism spectrum disorder | granulosa cell tumor | ovarian cancer | prostate cancer | urinary bladder cancer	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | pigmentation | renal/urinary system | reproductive system | respiratory system | skeleton | taste/olfaction | vision/eye	
mouse	Hand1	MGI:103577		Chr11:57719539-57722973 (-)	GRCm39		cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | limbs/digits/tail | mortality/aging | muscle | nervous system | reproductive system | respiratory system | skeleton	
mouse	Spint2	MGI:1338031		Chr7:28955748-28981337 (-)	GRCm39		embryo | mortality/aging | nervous system	
mouse	T	MGI:98472		Chr17:8653255-8661328 (+)	GRCm39		cardiovascular system | digestive/alimentary system | embryo | homeostasis/metabolism | limbs/digits/tail | mortality/aging | nervous system | reproductive system | skeleton	
mouse	Vps39	MGI:2443189		Chr2:120146942-120183618 (-)	GRCm39		mortality/aging	
mouse	Rab10	MGI:105066		Chr12:3297428-3359969 (-)	GRCm39		adipose tissue | behavior/neurological | cellular | embryo | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | mortality/aging | vision/eye	
mouse	Rb1	MGI:97874	Chr14 D3	Chr14:73430298-73563446 (-)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | pigmentation | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Rbpj	MGI:96522	Chr5 C1-C3	Chr5:53713121-53814787 (+)	GRCm39	aortic valve disease	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | neoplasm | nervous system | pigmentation | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Rgs4	MGI:108409		Chr1:169569046-169575211 (-)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | renal/urinary system | skeleton	
mouse	Riok1	MGI:1918590		Chr13:38220971-38245409 (+)	GRCm39		mortality/aging	
mouse	Rpain	MGI:1916973	Chr11 B4	Chr11:70861039-70868659 (+)	GRCm39		behavior/neurological | cellular | embryo | hearing/vestibular/ear | mortality/aging	
mouse	Cript	MGI:1929655		Chr17:87332989-87343236 (+)	GRCm39		hematopoietic system | mortality/aging	
mouse	Cyfip1	MGI:1338801	Chr7 B5	Chr7:55491556-55582381 (+)	GRCm39		behavior/neurological | embryo | mortality/aging | nervous system	
mouse	Dbr1	MGI:1931520	Chr9 F1	Chr9:99457852-99466554 (+)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | renal/urinary system | vision/eye	
mouse	Dido1	MGI:1344352		Chr2:180299757-180351792 (-)	GRCm39	myelodysplastic/myeloproliferative neoplasm	behavior/neurological | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | nervous system | reproductive system	
mouse	dmpl	MGI:3578184					embryo | mortality/aging	
mouse	Aasdhppt	MGI:1914868	Chr9 A1	Chr9:4294793-4309471 (-)	GRCm39		behavior/neurological | homeostasis/metabolism | mortality/aging | pigmentation | vision/eye	
mouse	Abcb7	MGI:109533	ChrX C-D	ChrX:103324263-103457462 (-)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | homeostasis/metabolism | liver/biliary system | mortality/aging | nervous system	
mouse	Acly	MGI:103251		Chr11:100367179-100418826 (-)	GRCm39		homeostasis/metabolism | mortality/aging	
mouse	Adnp	MGI:1338758		Chr2:168022906-168049032 (-)	GRCm39		embryo | mortality/aging | nervous system	
mouse	Alg5	MGI:1913498	Chr3 D	Chr3:54642960-54657216 (+)	GRCm39		embryo | mortality/aging	
mouse	Alg14	MGI:1914039		Chr3:121085422-121156743 (+)	GRCm39		cellular | embryo | mortality/aging	
mouse	Ankmy2	MGI:2144755		Chr12:36207123-36247290 (+)	GRCm39		cardiovascular system | craniofacial | embryo | growth/size/body | integument | mortality/aging | nervous system	
mouse	essa1a	MGI:3578205					cardiovascular system | embryo | mortality/aging	
mouse	essa99j1	MGI:3578200					embryo | mortality/aging	
mouse	essam2	MGI:3578207					embryo | mortality/aging	
mouse	Ets2	MGI:95456	Chr16 C3-qter	Chr16:95503274-95522093 (+)	GRCm39		cardiovascular system | embryo | endocrine/exocrine glands | growth/size/body | integument | mortality/aging | neoplasm	
mouse	Exoc2	MGI:1913732		Chr13:30997902-31158076 (-)	GRCm39		cellular | embryo | mortality/aging	
mouse	Ezh2	MGI:107940	Chr6 B	Chr6:47507208-47572309 (-)	GRCm39	acute lymphoblastic leukemia | B-cell lymphoma | Weaver syndrome	behavior/neurological | cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	f8ga	MGI:3578179					embryo | mortality/aging	
mouse	Fbxl5	MGI:2152883		Chr5:43901958-43939529 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | nervous system	
mouse	Fdxr	MGI:104724	Chr11 E2	Chr11:115158850-115167876 (-)	GRCm39		cellular | embryo | endocrine/exocrine glands | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | neoplasm | respiratory system	
mouse	Fgl2	MGI:103266		Chr5:21577671-21583384 (+)	GRCm39	autoimmune glomerulonephritis	cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | renal/urinary system	
mouse	Fts	MGI:107456	Chr8 D	Chr8:91632145-93455280	GRCm39		cardiovascular system | cellular | embryo | endocrine/exocrine glands | hematopoietic system | immune system | limbs/digits/tail | mortality/aging | nervous system | reproductive system | respiratory system	
mouse	Cdc40	MGI:1918963	Chr10 B1	Chr10:40707617-40759139 (-)	GRCm39		mortality/aging | nervous system | reproductive system	
mouse	Cdh5	MGI:105057		Chr8:104828257-104871143 (+)	GRCm39		cardiovascular system | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | reproductive system | vision/eye	
mouse	Cdin1	MGI:3026886		Chr2:115412197-115609249 (+)	GRCm39		behavior/neurological | homeostasis/metabolism | mortality/aging	
mouse	Cenpj	MGI:2684927		Chr14:56764218-56812882 (-)	GRCm39	Seckel syndrome	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | muscle | nervous system | reproductive system | skeleton | taste/olfaction | vision/eye	
mouse	Cenpu	MGI:1919126	Chr8 B2	Chr8:47005063-47033042 (+)	GRCm39		embryo | growth/size/body | mortality/aging	
mouse	Phb2	MGI:102520		Chr6:124689299-124693913 (+)	GRCm39		behavior/neurological | cellular | endocrine/exocrine glands | growth/size/body | integument | mortality/aging | reproductive system	
mouse	Pikfyve	MGI:1335106	Chr1 C3	Chr1:65225842-65317854 (+)	GRCm39	Crohn's disease	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | nervous system | pigmentation | renal/urinary system | respiratory system	
mouse	Pmpcb	MGI:1920328	Chr5 A3	Chr5:21942143-21962150 (+)	GRCm39		mortality/aging | vision/eye	
mouse	Poglut1	MGI:2444232		Chr16:38345499-38370620 (-)	GRCm39		cardiovascular system | embryo | growth/size/body | mortality/aging | nervous system | vision/eye	
mouse	Pold1	MGI:97741		Chr7:44182168-44198239 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | hematopoietic system | immune system | integument | mortality/aging | muscle | neoplasm | respiratory system	
mouse	Pold2	MGI:1097163	Chr11 A2	Chr11:5822180-5828256 (-)	GRCm39		cellular | embryo | mortality/aging	
mouse	Polg	MGI:1196389	Chr7 E	Chr7:79095979-79116110 (-)	GRCm39	bipolar disorder | mood disorder | myelodysplastic syndrome	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | neoplasm | nervous system | pigmentation | reproductive system | skeleton	
mouse	Polg2	MGI:1354947	Chr11 E1	Chr11:106659079-106670363 (-)	GRCm39	nephrocalcinosis	cellular | embryo | homeostasis/metabolism | mortality/aging | renal/urinary system | vision/eye	
mouse	Kmt2d	MGI:2682319		Chr15:98729550-98769085 (-)	GRCm39	Kabuki syndrome	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | muscle | nervous system | respiratory system | skeleton	
mouse	Lias	MGI:1934604	Chr5 C3.3	Chr5:65548840-65567766 (+)	GRCm39		cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | nervous system	
mouse	Dync1h1	MGI:103147		Chr12:110567886-110633379 (+)	GRCm39	Charcot-Marie-Tooth disease axonal type 2O	behavior/neurological | growth/size/body | homeostasis/metabolism | mortality/aging | muscle | nervous system | reproductive system	
mouse	Eef1e1	MGI:1913393	Chr13 A5	Chr13:38829667-38843004 (-)	GRCm39		cellular | hematopoietic system | immune system | mortality/aging | neoplasm	
mouse	Eif2s2	MGI:1914454		Chr2:154713330-154734826 (-)	GRCm39		behavior/neurological | cellular | endocrine/exocrine glands | hematopoietic system | immune system | mortality/aging | neoplasm | reproductive system | vision/eye	
mouse	Ercc3	MGI:95414	Chr18 B3	Chr18:32373357-32403206 (+)	GRCm39	xeroderma pigmentosum group B	cellular | hematopoietic system | homeostasis/metabolism | integument | mortality/aging | neoplasm | nervous system | reproductive system	
mouse	Ippk	MGI:1922928		Chr13:49574725-49618049 (+)	GRCm39		cardiovascular system | embryo | growth/size/body | mortality/aging	
mouse	Jarid2	MGI:104813		Chr13:44882950-45075119 (+)	GRCm39		cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | nervous system | respiratory system | skeleton	
mouse	Gata4	MGI:95664		Chr14:63436371-63509141 (-)	GRCm39	atrial heart septal defect 2 | congenital diaphragmatic hernia	cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | integument | mortality/aging | muscle | nervous system | reproductive system | respiratory system | skeleton	
mouse	Glrx3	MGI:1353653	Chr7 F5	Chr7:137039343-137070323 (+)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | muscle | nervous system	
mouse	Glul	MGI:95739	Chr1 G2	Chr1:153775690-153785469 (+)	GRCm39	temporal lobe epilepsy	behavior/neurological | cardiovascular system | cellular | growth/size/body | homeostasis/metabolism | liver/biliary system | mortality/aging | nervous system	
mouse	Cmtr1	MGI:1921407		Chr17:29879569-29924953 (+)	GRCm39		cardiovascular system | growth/size/body | immune system | mortality/aging | nervous system	
mouse	Cops3	MGI:1349409	Chr11 B2	Chr11:59708621-59730664 (-)	GRCm39		embryo | growth/size/body | mortality/aging	
mouse	Prickle1	MGI:1916034		Chr15:93396995-93493772 (-)	GRCm39	autism spectrum disorder | autosomal recessive Robinow syndrome | progressive myoclonus epilepsy 1B | velocardiofacial syndrome	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | renal/urinary system | respiratory system | skeleton | vision/eye	
mouse	Prim1	MGI:97757	Chr10 D3	Chr10:127851084-127865899 (+)	GRCm39		behavior/neurological | embryo | mortality/aging	
mouse	Arhgap21	MGI:1918685	Chr2 A3	Chr2:20852730-20973692 (-)	GRCm39		behavior/neurological | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging	
mouse	Arhgef7	MGI:1860493		Chr8:11778053-11885219 (+)	GRCm39		cellular | embryo | growth/size/body | mortality/aging | nervous system	
mouse	Ash2l	MGI:1344416	Chr8 A3	Chr8:26306028-26337722 (-)	GRCm39		cellular | integument | mortality/aging	
mouse	Atp2a2	MGI:88110	Chr5 F	Chr5:122591576-122640288 (-)	GRCm39	keratosis follicularis	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | neoplasm | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Atp2b1	MGI:104653	Chr10 C3	Chr10:98750268-98862005 (+)	GRCm39		cardiovascular system | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | integument | mortality/aging | muscle | renal/urinary system | reproductive system | skeleton	
mouse	Slc40a1	MGI:1315204	Chr1 B	Chr1:45947228-45965683 (-)	GRCm39	hemochromatosis type 4	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | nervous system | renal/urinary system | skeleton | vision/eye	
mouse	Snai1	MGI:98330		Chr2:167380115-167384734 (+)	GRCm39	dilated cardiomyopathy | skin cancer	behavior/neurological | cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | integument | limbs/digits/tail | mortality/aging | muscle | neoplasm | nervous system	
mouse	Gpx4	MGI:104767		Chr10:79883000-79892273 (+)	GRCm39		behavior/neurological | cellular | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | liver/biliary system | mortality/aging | nervous system | reproductive system | vision/eye	
mouse	Hk2	MGI:1315197		Chr6:82702006-82751435 (-)	GRCm39		cellular | embryo | growth/size/body | mortality/aging | nervous system	
mouse	Hsd17b12	MGI:1926967		Chr2:93863042-93988254 (-)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | mortality/aging	
mouse	Htt	MGI:96067		Chr5:34919084-35069878 (+)	GRCm39	Huntington's disease	behavior/neurological | cardiovascular system | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | nervous system | reproductive system | skeleton | taste/olfaction	
mouse	Hyou1	MGI:108030	Chr9 B	Chr9:44290787-44303666 (+)	GRCm39		cellular | homeostasis/metabolism | mortality/aging | nervous system	
mouse	Lrpprc	MGI:1919666		Chr17:85012675-85098214 (-)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | hematopoietic system | mortality/aging	
mouse	Map1b	MGI:1306778		Chr13:99557954-99653048 (-)	GRCm39		behavior/neurological | cellular | growth/size/body | homeostasis/metabolism | integument | limbs/digits/tail | mortality/aging | nervous system | reproductive system | vision/eye	
mouse	Mcrs1	MGI:1858420		Chr15:99140698-99149842 (-)	GRCm39		cellular | embryo | homeostasis/metabolism | mortality/aging	
mouse	Mepce	MGI:106477		Chr5:137780168-137784963 (-)	GRCm39		behavior/neurological | mortality/aging	
mouse	Metap2	MGI:1929701		Chr10:93694351-93732952 (-)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | mortality/aging	
mouse	Mtap	MGI:1914152	Chr4 C4	Chr4:89055607-89099327 (+)	GRCm39		cardiovascular system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | immune system | integument | liver/biliary system | mortality/aging | respiratory system	
mouse	Mybl2	MGI:101785		Chr2:162896607-162926608 (+)	GRCm39	acute myeloid leukemia | myelodysplastic syndrome	cellular | embryo | growth/size/body | hematopoietic system | immune system | mortality/aging | neoplasm	
mouse	Myl1	MGI:97269		Chr1:66963454-66984563 (-)	GRCm39		embryo | growth/size/body | mortality/aging	
