Organism	Gene Symbol	ID	Genetic Location	Genome Coordinates	Build	Associated Human Diseases	Abnormal Mouse Phenotypes	
mouse	Csf2	MGI:1339752		Chr11:54138097-54140493 (-)	GRCm39	pulmonary alveolar proteinosis	adipose tissue | behavior/neurological | cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | reproductive system | respiratory system	
mouse	Csf2ra	MGI:1339754	Chr19 D2	Chr19:61212395-61216867 (-)	GRCm39	pulmonary alveolar proteinosis	cellular | hematopoietic system | homeostasis/metabolism | immune system | respiratory system	
human	CSF2RA	HGNC:2435	ChrXY ;Y			pulmonary alveolar proteinosis		
mouse	Csf2rb	MGI:1339759		Chr15:78210000-78235201 (+)	GRCm39	pulmonary alveolar proteinosis	behavior/neurological | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | respiratory system | vision/eye	
human	CSF2RB	HGNC:2436	Chr22 q12.3	Chr22:36913628-36940439 (+)	GRCh38	pulmonary alveolar proteinosis		
mouse	Csgalnact1	MGI:2442354		Chr8:68809433-69187798 (-)	GRCm39		behavior/neurological | craniofacial | digestive/alimentary system | growth/size/body | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Csk	MGI:88537		Chr9:57533929-57560758 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | immune system | mortality/aging | nervous system | respiratory system | taste/olfaction | vision/eye	
human	CSPP1	HGNC:26193	Chr8 q13.1-q13.2	Chr8:67062417-67196778 (+)	GRCh38	Joubert syndrome 21		
human	CST6	HGNC:2478	Chr11 q13.1	Chr11:66012008-66013505 (+)	GRCh38	ectodermal dysplasia 15		
mouse	Cstb	MGI:109514		Chr10:78261504-78263456 (+)	GRCm39	Unverricht-Lundborg syndrome	behavior/neurological | cellular | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | muscle | nervous system | skeleton | vision/eye	
mouse	Ct55	MGI:1922263		ChrX:52726622-52740532 (+)	GRCm39		cellular | digestive/alimentary system | growth/size/body | homeostasis/metabolism | immune system | mortality/aging | neoplasm | reproductive system	
mouse	ctl	MGI:3045163		Chr4:133154678-137617995	GRCm39		hearing/vestibular/ear | immune system | limbs/digits/tail | nervous system | skeleton | vision/eye	
human	CTLA4	HGNC:2505	Chr2 q33.2	Chr2:203853888-203873965 (+)	GRCh38	acute myeloid leukemia | alopecia areata | anti-basement membrane glomerulonephritis | asthma | atopic dermatitis | autoimmune hemolytic anemia | autoimmune hepatitis | autoimmune thyroiditis | basal cell carcinoma | Behcet's disease | breast cancer | celiac disease | chronic obstructive pulmonary disease | end stage renal disease | graft-versus-host disease | granulomatosis with polyangiitis | Graves ophthalmopathy | Graves' disease | hepatitis B | hepatocellular carcinoma | immunoglobulin alpha deficiency | iridocyclitis | kidney disease | latent autoimmune diabetes in adults | lupus nephritis | melanoma | monoclonal gammopathy of uncertain significance | multiple myeloma | multiple sclerosis | myocardial infarction | non-Hodgkin lymphoma | primary biliary cholangitis | primary immunodeficiency disease | psoriasis | renal cell carcinoma | sarcoidosis | Sjogren's syndrome | squamous cell carcinoma | systemic lupus erythematosus | type 1 diabetes mellitus | type 1 diabetes mellitus 12 | urinary schistosomiasis | vitiligo		
mouse	Ctla4	MGI:88556	Chr1 C	Chr1:60948184-60954991 (+)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | immune system | integument | liver/biliary system | mortality/aging | pigmentation | respiratory system | skeleton	
human	CTNNB1	HGNC:2514	Chr3 p22.1	Chr3:41194741-41260096 (+)	GRCh38	autosomal dominant intellectual developmental disorder 19 | colorectal cancer | exudative vitreoretinopathy 7 | fibrolamellar carcinoma | hepatocellular carcinoma | medulloblastoma | nephroblastoma | ovarian cancer | pilomatrixoma		
mouse	Ctnnb1	MGI:88276		Chr9:120762466-120789573 (+)	GRCm39	autism spectrum disorder | exudative vitreoretinopathy | granulosa cell tumor | ovarian cancer | prostate cancer | urinary bladder cancer	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | pigmentation | renal/urinary system | reproductive system | respiratory system | skeleton | taste/olfaction | vision/eye	
mouse	Ctrb1	MGI:88559		Chr8:112413151-112417642 (-)	GRCm39		endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | immune system	
mouse	Ctrc	MGI:1923951		Chr4:141565550-141573598 (-)	GRCm39		digestive/alimentary system | endocrine/exocrine glands | immune system | limbs/digits/tail | skeleton | vision/eye	
mouse	Ctsb	MGI:88561		Chr14:63359911-63383372 (+)	GRCm39		cellular | digestive/alimentary system | endocrine/exocrine glands | homeostasis/metabolism | immune system | renal/urinary system	
human	CTSC	HGNC:2528	Chr11 q14.2	Chr11:88265069-88359684 (-)	GRCh38	aggressive periodontitis | Papillon-Lefevre disease		
mouse	Ctse	MGI:107361	Chr1 F	Chr1:131566052-131603245 (+)	GRCm39	atopic dermatitis	hematopoietic system | homeostasis/metabolism | immune system | integument | reproductive system	
mouse	Ctsl	MGI:88564		Chr13:64509704-64518586 (-)	GRCm39	dilated cardiomyopathy	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | renal/urinary system | reproductive system | skeleton | vision/eye	
mouse	Ctss	MGI:107341		Chr3:95434097-95463714 (+)	GRCm39	Duchenne muscular dystrophy	behavior/neurological | cardiovascular system | digestive/alimentary system | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | muscle | skeleton	
mouse	Cuedc2	MGI:1914366	Chr19 D1	Chr19:46318251-46327141 (-)	GRCm39		digestive/alimentary system | hematopoietic system | homeostasis/metabolism | immune system | neoplasm	
mouse	Cux1	MGI:88568		Chr5:136276989-136596344 (-)	GRCm39		adipose tissue | behavior/neurological | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | pigmentation | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Cuzd1	MGI:1202881		Chr7:130910283-130924021 (-)	GRCm39		cellular | endocrine/exocrine glands | homeostasis/metabolism | immune system | integument | mortality/aging | reproductive system	
mouse	Cx3cl1	MGI:1097153		Chr8:95498808-95509055 (+)	GRCm39		behavior/neurological | cellular | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
mouse	Cx3cr1	MGI:1333815		Chr9:119877749-119897362 (-)	GRCm39	age related macular degeneration 12	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | muscle | nervous system | renal/urinary system | skeleton | vision/eye	
mouse	Cxcl5	MGI:1096868		Chr5:90907219-90909483 (+)	GRCm39		behavior/neurological | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging	
human	CXCL8	HGNC:6025	Chr4 q13.3	Chr4:73740519-73743716 (+)	GRCh38	acute pyelonephritis | adult respiratory distress syndrome | autoimmune uveitis | bacterial gastritis | brucellosis | eumycotic mycetoma | gastritis | hepatocellular carcinoma | leprosy | pulmonary fibrosis | stomach carcinoma | trachoma | tuberculosis | urinary tract infection | viral encephalitis | visceral leishmaniasis		
mouse	Cxcl9	MGI:1352449		Chr5:92469206-92475938 (-)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | mortality/aging	
mouse	Cxcl10	MGI:1352450		Chr5:92494497-92496748 (-)	GRCm39		cellular | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
human	CXCR2	HGNC:6027	Chr2 q35	Chr2:218125289-218137251 (+)	GRCh38	acute pyelonephritis | end stage renal disease | IgA glomerulonephritis | urinary bladder cancer		
mouse	Cxcr2	MGI:105303		Chr1:74193153-74200405 (+)	GRCm39		cardiovascular system | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Cxcr3	MGI:1277207		ChrX:100775141-100777753 (-)	GRCm39		cardiovascular system | cellular | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | neoplasm | renal/urinary system | respiratory system	
mouse	Cxcr4	MGI:109563		Chr1:128515936-128520030 (-)	GRCm39	cardiomyopathy | congestive heart failure | WHIM syndrome	adipose tissue | cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
human	CYBA	HGNC:2577	Chr16 q24.2	Chr16:88643275-88651083 (-)	GRCh38	asthma | autosomal recessive chronic granulomatous disease 4 | chronic granulomatous disease | chronic obstructive pulmonary disease | coronary artery disease | hypertension | phagocyte bactericidal dysfunction		
